observer,luminance_cd_m2,eccentricity_deg,color_direction,stimulus_size_deg,stimulus_shape,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high,contrast_sensitivity
Obs016,100,10,3,2,1,45,-1.3380555423341,-1.47525570069748,-1.19746352577929,4.79128957474854,3.43413115274585,6.42143218165132,2.05174079948132
Obs017,100,10,3,2,1,30,-1.81949085852616,-1.9324957426637,-1.69162406004613,12.0470199491658,9.68147562092398,14.4339645108888,2.05174079948132
Obs018,100,10,3,2,1,30,-1.78588824388087,-1.89527447714565,-1.63559006927332,11.3918125705034,8.7509134936728,13.6158995323829,2.05174079948132
Obs001,100,20,3,2,1,24,-0.99957570236827,-1.5184522818616,NaN,1.99745529422773,NaN,7.00218275099804,2.05174079948132
Obs002,100,20,3,2,1,43,-1.20848436549756,-1.29747330594603,-1.11447747207392,3.5298244274807,2.76849585763628,4.36842908665716,2.05174079948132
Obs003,100,20,3,2,1,50,-1.49023348818068,-1.61208961627673,-1.39092936649963,6.61900869006459,5.3820189791313,8.37910316470723,2.05174079948132
Obs004,100,20,3,2,1,30,-1.15652724311113,-1.26264963260349,-1.02868031902085,3.09383820410011,2.17706446092647,4.02604445291179,2.05174079948132
Obs005,100,20,3,2,1,38,-1.29801506717384,-1.44115170703173,-1.1504795771207,4.37390349717653,3.04555703163346,5.98630854160864,2.05174079948132
Obs006,100,20,3,2,1,31,-1.26483907989892,-1.37373741490465,-1.13820047442878,4.04702439632435,2.94907815767025,5.18490944779847,2.05174079948132
Obs007,100,20,3,2,1,32,-1.3871948250433,-1.51813658931206,-1.25463837952588,5.33878431216362,3.94989636687524,6.99781631010928,2.05174079948132
Obs008,100,20,3,2,1,32,-1.31762134712639,-1.50837164205125,-1.12968115643662,4.57511339575815,2.88335190112174,6.86364910065051,2.05174079948132
Obs009,100,20,3,2,1,42,-1.52032302599983,-1.68651197477771,-1.26009850833007,7.02809486732118,4.00169042431223,9.59396838858719,2.05174079948132
Obs011,100,20,3,2,1,50,-1.29890537375599,-1.39436716740361,-1.20169851927931,4.38290983327412,3.4706959881413,5.42202405316607,2.05174079948132
Obs012,100,20,3,2,1,42,-1.30206618443813,-1.41547768306943,-1.16287872052408,4.41498442696563,3.14509136347707,5.6720372613778,2.05174079948132
Obs013,100,20,3,2,1,30,-1.52753917687443,-1.62582749421985,-1.38962050786405,7.12864631593952,5.36683990043454,8.5951485389591,2.05174079948132
Obs014,100,20,3,2,1,51,-1.68653034666491,-1.79438461491653,-1.55569091195348,9.59428192545095,7.53008605867997,11.5551771113786,2.05174079948132
Obs016,100,20,3,2,1,38,-1.12907472584177,-1.24668261805925,-0.995678227701725,2.87871090755662,1.97418127106347,3.8752320089618,2.05174079948132
Obs017,100,20,3,2,1,50,-0.601168909146516,-1.00187800377417,NaN,0.434529765805684,NaN,2.01128919728116,2.05174079948132
Obs018,100,20,3,2,1,37,-1.43790803241798,-1.59593253891194,-1.27769691075015,5.94597836929828,4.17170442341644,8.12968248780251,2.05174079948132
